MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,MSZoning_RL,MSZoning_RM,LotShape_Reg,LandContour_Other,LotConfig_CulDSac,LotConfig_Other,Neighborhood_Edwards,Neighborhood_NridgHt,Neighborhood_Other,Neighborhood_Somerst,Condition1_Norm,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Hip,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior2nd_Plywood,Exterior2nd_VinylSd,ExterQual_Other,ExterQual_TA,Foundation_PConc,BsmtQual_Gd,BsmtQual_Other,BsmtQual_TA,BsmtCond_TA,BsmtExposure_Gd,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_Unf,HeatingQC_Gd,HeatingQC_TA,KitchenQual_Gd,KitchenQual_Other,KitchenQual_TA,Functional_Typ,GarageType_Detchd,GarageType_None,GarageType_Other,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf,GarageQual_TA,SaleType_WD,SaleCondition_Normal,SaleCondition_Partial,SalePrice
20,10920,6,5,1960,1960,212.0,733,0,1253,5.456175388274899,0,0,1,0,1,1,2,1,5,1,1,0,213,176,0,0,0,5,2008,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,157000
45,6120,7,8,1929,2001,0.0,0,0,832,5.234369504613962,0,0,0,0,1,0,2,1,5,0,2,48,112,0,0,0,0,7,2007,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,132000
20,11241,6,7,1970,1970,180.0,578,0,1004,5.328810715664147,0,0,1,0,1,0,2,1,5,1,2,0,0,0,0,0,700,3,2010,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,149000
90,10791,4,5,1967,1967,0.0,0,0,0,5.4753786137283615,0,0,0,0,2,0,2,2,6,0,2,0,0,0,0,0,500,10,2006,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,90000
20,13695,5,5,2004,2004,0.0,646,0,1114,5.388855603672774,0,0,1,0,1,1,3,1,6,0,2,0,102,0,0,0,0,6,2008,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,159000
20,7560,5,6,1958,1965,0.0,504,0,1029,5.49390643687103,0,0,0,0,1,0,3,1,6,0,1,0,0,0,0,0,0,5,2009,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,139000
60,14215,8,5,2005,2006,380.0,0,0,1158,5.41110269177791,1218,0,0,0,3,1,4,1,9,1,3,240,154,0,0,0,0,11,2006,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,325300
45,7449,7,7,1930,1950,0.0,0,0,637,5.38574862575052,0,0,0,0,1,0,3,1,6,1,1,0,0,205,0,0,0,6,2007,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,139400
20,9742,8,5,2002,2002,281.0,0,0,1777,5.658150943213362,0,0,0,0,2,0,3,1,7,1,2,171,159,0,0,0,0,9,2008,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,230000
120,4224,5,7,1976,1976,0.0,840,0,1040,5.360219635213215,0,0,1,0,1,0,3,1,6,1,2,100,110,0,0,0,0,6,2007,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,129900
20,8246,5,8,1968,2001,0.0,188,668,1060,5.360219635213215,0,0,1,0,1,0,3,1,6,1,1,406,90,0,0,0,0,5,2010,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,154000
20,14230,8,5,2007,2007,640.0,0,0,1566,5.594155613133245,0,0,0,0,2,0,3,1,7,1,3,0,56,0,0,0,0,7,2009,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,256300
20,7200,5,7,1951,2000,0.0,234,486,900,5.265121048058162,0,0,0,1,1,0,3,1,5,0,2,222,32,0,0,0,0,5,2010,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,134800
20,11478,8,5,2007,2008,200.0,1218,0,1704,5.629271329648759,0,0,1,0,2,0,3,1,7,1,3,0,50,0,0,0,0,5,2010,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,306000
20,16321,5,6,1957,1997,0.0,1277,0,1484,5.594155613133245,0,0,1,0,1,0,2,1,6,2,1,288,258,0,0,0,0,12,2006,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,207500
30,6324,4,6,1927,1950,0.0,0,0,520,4.937204122333082,0,0,0,0,1,0,1,1,4,0,1,49,0,87,0,0,0,5,2008,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,68500
70,8500,4,4,1920,1950,0.0,0,0,649,5.071382048119395,668,0,0,0,1,0,3,1,6,0,1,0,54,172,0,0,0,7,2008,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,40000
20,8544,5,6,1966,2006,0.0,0,0,1228,5.44468102765143,0,0,0,0,1,1,3,1,6,0,1,0,65,0,0,0,0,6,2008,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,149350
20,11049,8,5,2007,2007,0.0,0,0,1234,5.447462549365358,0,0,0,0,2,0,3,1,7,0,2,0,30,0,0,0,0,1,2008,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,179900
20,10552,5,5,1959,1959,0.0,1018,0,1398,5.6279639637584955,0,0,0,1,1,1,4,1,6,1,2,0,38,0,0,0,0,4,2010,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,165500
120,7313,9,5,2005,2005,246.0,1153,0,1561,5.58034773484872,0,0,1,0,2,0,2,1,6,1,2,203,47,0,0,0,0,8,2007,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,277500
60,13418,8,5,2004,2005,132.0,0,0,1117,5.398069326865577,1320,0,0,0,3,1,4,1,9,1,3,113,32,0,0,0,0,9,2006,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,309000
20,10859,5,5,1994,1995,0.0,0,0,1097,5.3800050697387665,0,0,0,0,1,1,3,1,6,0,2,392,64,0,0,0,0,6,2009,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,145000
20,8532,5,6,1954,1990,650.0,1213,0,1297,5.4758169838359425,0,0,0,1,1,0,3,1,5,1,2,0,0,0,0,0,0,10,2009,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,153000
20,7922,5,7,1953,2007,0.0,731,0,1057,5.358582864617472,0,0,1,0,1,0,3,1,5,0,1,0,52,0,0,0,0,1,2010,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,109000
90,6040,4,5,1955,1955,0.0,0,0,0,5.408123212161993,0,0,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,6,2008,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,82000
20,8658,6,5,1965,1965,101.0,643,0,1088,5.487517086763479,0,0,0,0,2,0,3,1,6,1,2,0,138,0,0,0,0,12,2006,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,160000
20,16905,5,6,1959,1959,0.0,967,0,1350,5.4892285201356055,0,0,0,1,1,1,2,1,5,2,1,0,104,0,0,0,0,7,2007,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,170000
85,9180,5,7,1983,1983,0.0,747,93,840,5.2546211625932635,0,0,1,0,1,0,2,1,5,0,2,240,0,0,0,0,0,12,2007,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,144000
20,9200,5,6,1975,1980,0.0,280,491,938,5.289271926576266,0,0,1,0,1,0,3,1,5,0,1,145,0,0,0,0,0,7,2008,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,130250
20,7945,5,6,1959,1959,0.0,179,506,1150,5.407126330458636,0,0,1,0,1,0,3,1,6,0,1,0,0,0,0,0,0,5,2006,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,141000
120,7658,9,5,2005,2005,412.0,456,0,1752,5.644706316395737,0,0,1,0,2,0,2,1,6,1,2,196,82,0,0,0,0,2,2010,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,319900
50,12822,7,5,2003,2003,0.0,1351,0,1434,5.564685547642548,631,0,1,0,1,1,1,1,6,1,2,168,43,0,0,198,0,8,2009,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,239686
20,11096,8,5,2006,2006,0.0,24,0,1656,5.6133599806666545,0,0,0,0,2,0,3,1,7,0,3,0,146,0,0,0,0,7,2007,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,249700
190,4456,4,5,1920,2008,0.0,0,0,736,5.14651400731446,716,0,0,0,2,0,2,3,8,0,0,0,0,102,0,0,0,6,2009,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,113000
20,7742,5,7,1966,1966,0.0,763,0,955,5.299736641179026,0,0,1,0,1,0,3,1,6,0,1,0,0,0,0,0,0,1,2007,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,127000
60,13869,6,6,1997,1997,0.0,182,0,794,5.191458319388244,676,0,0,1,2,0,3,1,6,0,2,0,75,0,0,0,0,7,2007,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,177000
50,6240,6,6,1934,1950,0.0,0,0,816,5.207586558660841,0,360,0,0,1,0,3,1,6,1,2,112,0,0,0,0,400,9,2006,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,114500
90,8472,5,5,1963,1963,0.0,104,712,816,5.207586558660841,0,0,1,0,1,0,2,1,5,0,2,106,0,0,0,0,0,5,2010,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,110000
20,50271,9,5,1981,1987,0.0,1810,0,1842,5.672454414012299,0,0,2,0,0,1,0,1,5,1,3,857,72,0,0,0,0,11,2006,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,385000
80,7134,5,5,1955,1955,0.0,384,0,384,5.502722972236907,0,0,0,0,1,0,3,1,6,1,2,0,50,0,0,0,0,2,2007,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,130000
20,10175,6,5,1964,1964,272.0,490,0,1425,5.529109026094447,0,0,0,0,2,0,3,1,7,1,2,0,0,0,407,0,0,7,2008,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,180500
160,2645,8,5,1999,2000,456.0,649,0,970,5.316542077753826,756,0,1,0,2,1,3,1,7,0,2,115,0,0,0,0,0,8,2009,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,172500
60,11645,7,5,2004,2004,0.0,0,0,860,5.23848061571965,860,0,0,0,2,1,3,1,7,0,2,0,70,0,0,0,0,8,2006,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,196500
60,13682,10,5,2006,2006,1031.0,0,0,1410,5.529504755898653,1519,0,0,0,3,1,3,1,10,1,3,192,0,37,0,0,0,10,2006,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,438780
20,7200,5,7,1972,1972,0.0,632,0,780,5.180941843932822,0,0,0,0,1,0,2,1,4,0,1,196,0,0,0,0,0,1,2008,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,124900
20,13072,6,5,2004,2004,0.0,941,0,1158,5.41110269177791,0,0,1,0,1,1,3,1,5,0,2,0,50,0,0,0,0,5,2006,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,158000
75,7200,5,7,1920,1996,0.0,0,0,530,5.00465873881957,530,0,0,0,1,0,3,1,6,0,1,0,0,144,0,0,0,3,2007,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,101000
120,6442,8,5,2006,2006,178.0,24,0,1370,5.506869840685294,0,0,0,0,2,0,2,1,6,1,2,120,49,0,0,0,0,10,2007,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,202500
70,10300,7,6,1921,1950,0.0,0,0,576,5.266419357086093,808,0,0,0,2,0,3,1,9,0,2,12,11,64,0,0,0,4,2010,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,140000
60,9375,7,5,1997,1998,573.0,739,0,1057,5.358582864617472,977,0,1,0,2,1,3,1,8,0,2,576,36,0,0,0,0,2,2009,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,219500
60,9591,8,5,2004,2005,344.0,0,0,1143,5.403622456795806,1330,0,0,0,2,1,4,1,9,1,3,192,151,0,0,0,0,10,2007,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,317000
20,19900,7,5,1970,1989,287.0,912,0,1947,5.771687119170132,0,0,1,0,2,0,3,1,7,1,2,301,0,0,0,0,0,7,2010,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,180000
20,10665,7,5,2003,2003,167.0,1013,0,1453,5.5500606956104415,0,0,1,0,2,0,3,1,7,0,2,144,29,0,0,0,0,6,2007,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,226000
30,4608,4,6,1945,1950,0.0,0,0,747,5.155325173834634,0,0,0,0,1,0,2,1,4,0,1,0,0,0,0,0,0,6,2010,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,80000
50,15593,7,4,1953,1953,0.0,603,0,1304,5.478875401714358,983,0,0,0,2,0,3,1,7,1,2,0,21,114,0,0,0,7,2006,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,225000
20,13651,7,6,1973,1973,1115.0,1880,0,2223,5.775622849591082,0,0,1,0,2,0,3,1,8,2,2,300,0,0,0,0,0,2,2007,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,244000
20,7599,4,6,1982,2006,0.0,565,0,845,5.228144045076889,0,0,1,0,1,0,2,1,4,0,2,0,0,0,0,0,0,6,2007,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,129500
60,10141,7,5,1998,1998,40.0,0,0,832,5.255283390790943,833,0,0,0,2,1,3,1,7,1,2,0,94,0,0,291,0,12,2009,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,185000
